Country,"Population, M","Energy, PJ","GDP, M$"
VIET NAM,98.19,2509,366138
ALGERIA,44.9,5506,163473
KAZAKHSTAN,19.4,6650,193018
BURUNDI,12.89,56,3900
BOLIVIA (PLURINATIONAL STATE OF),12.22,716,40408
TAJIKISTAN,9.95,155,8746
LAO PEOPLE'S DEMOCRATIC REPUBLIC,7.53,297,19074
KYRGYZSTAN,6.63,102,8741
CONGO,5.97,776,12841
