Country,"Population, M","Energy, PJ","GDP, M$"
MEXICO,127.5,6284,1272839
KENYA,54.03,777,110347
GHANA,33.48,704,79083
NIGER,26.21,115,14915
SINGAPORE,5.98,26,396992
KUWAIT,4.27,6353,136642
QATAR,2.7,9216,179571
CABO VERDE,0.59,2,1936
MALDIVES,0.52,0,5406
VANUATU,0.33,1,981
