Country,"Population, M","Energy, PJ","GDP, M$"
HAITI,11.59,142,19044
ISRAEL,9.04,495,481591
SIERRA LEONE,8.61,56,4249
SERBIA,7.22,458,63068
LIBYA,6.81,1334,39006
JAMAICA,2.83,11,14658
TIMOR-LESTE,1.34,197,2004
MAURITIUS,1.3,8,11525
SAINT LUCIA,0.18,1,1765
ANTIGUA AND BARBUDA,0.09,0,1421
