Country,"Population, M","Energy, PJ","GDP, M$"
CHINA,1425.89,111744,17734131
ZIMBABWE,16.32,377,24118
CUBA,11.21,170,126694
CENTRAL AFRICAN REPUBLIC,5.58,35,2518
