Country,"Population, M","Energy, PJ","GDP, M$"
INDIA,1417.17,23600,3201471
PAKISTAN,235.82,2220,342501
SOUTH AFRICA,59.89,6313,419016
UGANDA,47.25,979,42661
SUDAN,46.87,405,35867
MOZAMBIQUE,32.97,746,15777
SRI LANKA,21.83,151,85309
MONGOLIA,3.4,1169,15098
NAMIBIA,2.57,29,12236
